Asteria reference server on http://127.0.0.1:4173
127.0.0.1 - - [13/Aug/2026 19:10:56] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:58] "GET /assets/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:58] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:59] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:59] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:10:59] "GET /assets/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:00] "GET /assets/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:00] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:01] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:01] "GET /assets/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:01] "GET /residences.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:02] "GET /assets/styles.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:02] "GET /assets/app.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:02] "GET /residences/solis.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:04] "POST /api/leads HTTP/1.1" 201 -
127.0.0.1 - - [13/Aug/2026 19:11:05] "POST /api/leads HTTP/1.1" 503 -
127.0.0.1 - - [13/Aug/2026 19:11:05] "POST /api/leads HTTP/1.1" 201 -
127.0.0.1 - - [13/Aug/2026 19:11:05] "POST /api/leads HTTP/1.1" 201 -
127.0.0.1 - - [13/Aug/2026 19:11:05] "POST /api/leads HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:05] "GET /guide.html HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:06] "GET /robots.txt HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:06] "GET /sitemap.xml HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:06] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Aug/2026 19:11:06] "GET /assets/styles.css HTTP/1.1" 200 -
